data_no,unty_url_no,return_site_url,colc_site_url,classify_title,classify_fn33,classify_sp_fn33,classify_p22,classify_span22,classify_img,classify_imgper,classify_img_base64,classify_img_size,url_status_code,url_error_code,process_time,pre_text,tag_len,country_code,ip_addr,web_size,first_img_src,img_cnt,label_sn,label_name,site_no,use_yn,regr_id,regi_dt,updu_id,upda_dt
20210800000002,20210000000000131309,https://wkv7.com/,https://wkv7.com,M7, (event) {
            var scroll,(event){
varscroll=$(window).scro,,로그인,NULL,NULL,iVBORw0KGgoAAAANSUhEUgAAAQkAAABXCAYAAAAXm7BXAAAAAXNSR0IArs4c6QAAIABJREFUeJztXXt8FNXZfs5uQK2abNBWqia7fLZVuYTgpWhikiVYlHuCeOGWC7Fo0UoIShRLSLBysUIAxVoRkqBCRLkpgYiFEG4Bq2QTQuwVNiRg66VsArZWhPP9MTuzZ2bnvrNJwDy/30l2Zs685533nPPMe95zZoYAhMIQDGaXgBACSkOTYbhM3TsvLhCEWlsXIKy44HZrG2EsSGoHonxIC7ZQdTGK9iaI7zO+l5a+oMifot1qKYRiTJDEBVULXejCBYB2IIoQum1E6CVeJPcr/jKMGNMRDVpZDcTGAt98Y7xMmw3o3h0gMoVSCpw9C5w7B/zna+Cf/wS5O9F4GV0wDooOuBeGsdAQxZokiYsAZkhBCkJA3i3nOrnNhFNGqT,height=87 width=265,200,NULL,387.0758435726166, 발권일 맨위로 로그인 회원가입 원 마이 페이지 쿠폰함 고객센터 메세지 공지사항 슬롯 게임 라이브카지노 오픈 준비중 로그인 로그인 아이디 암호 저장 로그인에 실패 하였습니다 정확한 정보를 입력하여 주세요 정확한 정보를 입력해주세요 로그인 실패 사용자 이름 또는 암호가 잘못됨 아이디와 비밀번호가 일치하지 않습니다 로그인에 문제가 있습니다 고객센터로 문의하세요 로그인에 실패하였습니다 고객센터로 문의해주세요 로그인에 문제가 있습니다 고객센터로 문의하세요 부정로그인으로 판단되어 임시제재 될수 있으니 올바른 정보를 입력하시거나 고객센터로 비밀번호 문의해주시기 바랍니다 부정로그인으로 판단되어 임시제재 될수 있으니 올바른 정보를 입력하시거나 고객센터로 비밀번호 문의해주시기 바랍니다 부정로그인으로 판단되어 임시제재 될수 있으니 올바른 정보를 입력하시거나 고객센터로 비밀번호 문의해주시기 바랍니다 허용되지 않은 아이피 입니다 허용되지 않은 아이피 입니다 승인대기중입니다 잠시만 기다려주세요 회원님은 사,470,US,104.21.18.34,81944,/images/bluechip/logo/logo3.png?ver=1.01?>,70,NULL,NULL,NULL,Y,RPA,2021-08-17 10:26:46.848,RPA,2021-08-17 10:26:46.848
20210800000003,20210000000000131307,http://tr1911.com/login,http://tr1911.com,보물섬, () {
        GetHouseMoney();
  ,(){
GetHouseMoney();
},60*5000);
,,828889,8683878,889012345678983715937159371592604826048260488730639628518417406396295184174073962952841747,NULL,NULL,iVBORw0KGgoAAAANSUhEUgAAAVYAAADiCAYAAAAVg+9UAAAAAXNSR0IArs4c6QAAIABJREFUeJzsvWeTJEl65/dz91CpM0tXdbWenu6RKwYrbrkHHATPgLvj4o5GATOa0Yz8AHzHz8QXd0aa0XhQC7EAVgCzYnZ2ZPe0ri4tUmeGcne+iIjMLNFyZnZnF3jauqoy0sPD3SPi74//H+EicJWVUnJSpBBIpU4dz0SAEEghcBwHx3UQUmIBay061SRJgjUaYwzGGgQCIbKzjdYAtObmcJRDt9chTTXWWoSY1n2sPVJgAWMM2OyYnW2rlCjHRUmFzP+LSR02a3PxydqsXVqjdYrWGq1NXtIC5kR/7YnPgrNkcjS/rjj2d9YvAUgpEVKilIOUMvssTt+DJ13rWAnx+DLWnmz7853/pLoeV/eT6nvWaz1dZut5eh+fZRx+GX,height=226 width=342,200,NULL,150.2820429801941, 보물섬 게임시작 설치안내 공지사항 이벤트 행운권추첨 환전후기 회원가입 아이디 비밀번호 인중냄새 원 원 로이앤드 원 옴이스 원 원 공달 원 원 마이트리 원 콜럼버스호 원 동배리 원 주 플레이위드 대표 인사말 주 플레이위드 보물섬 썸머 충전 보너스 이벤트 콜 센터 정상안내 올인 이벤트 안내 가입축하금이벤트 주 플레이위드 보물섬 게임방법 안내 은행별 점검시간 안내 충전 및 환전 관련안내 주 플레이위드 보물섬 소개 및 규정 원 핑크색찐빵 출금완료 원 토종견 출금완료 원 출금완료 원 교추인 출금완료 원 위즈 출금완료 원 출금완료 원 엑스비디오 출금완료 원 출금완료 원 닥븅새 출금완료 원 백리스 출금완료 로그인이 필요합니다 회원가입 하시어 대박을 잡아보세요 아이디를 입력하세요 비밀번호를 입력하세요 ,498,US,13.230.150.251,42386,/exclude/template/images/logo/logo.png?v=0.2.264,15,NULL,NULL,NULL,Y,RPA,2021-08-17 10:38:12.422,RPA,2021-08-17 10:38:12.422
20210700019900,20210000000000035846,http://xi100.com/,http://xi100.com,ShopXO企业级B2C电商系统提供商 - 演示站点,<html class=""js cssanimations""><h,<htmlclass=jscssanimations><head>,首页,个人中心,NULL,NULL,,height=0 width=0,200,NULL,76.44800591468811, ,3262,CN,114.67.208.48,648394,http://xi100.com/static/index/default/images/nav-icon-home-active.png,44,NULL,NULL,NULL,Y,RPA,2021-07-22 12:59:41.392,RPA,2021-07-22 12:59:41.392
20210700019901,20210000000000035844,https://nuj21.proasdf.com/v3/s?q=bl.mob_mobility.q00_age_gender&t=3&c=KR&pl=&al=&ab=&ol=&ob=&s=dn-200&d=50b64b9fc1b080795e00c82d&k=&r=&u=&v=&x=&y=&z=31_33&pz=&f=1,http://xi98.com,여러분의 성별과 나이는 어떻게 되세요?,() {
$('.question_tex,(){
$(.question_text).after(<divc,,,NULL,NULL,,,200,NULL,58.227705001831055, 여러분의 성별과 나이는 어떻게 되세요 여러분의 성별과 나이는 어떻게 되세요 남자 여자 ,143,US,162.243.10.151,464,NULL,NULL,NULL,NULL,NULL,Y,RPA,2021-07-22 12:59:48.483,RPA,2021-07-22 12:59:48.483
20210700019899,20210000000000035843,http://xi97.com/,http://xi97.com,xi97.com, GetParam(name) {
var,GetParam(name){
